id,content_id,city
594,280,Sloviansk
595,280,Kherson
596,280,Odessa
597,280,Kharkiv
598,282,Kharkiv
599,283,Odessa
600,283,Kharkiv
601,284,Kherson
602,284,Kharkiv
603,285,Kherson
604,286,Ternopil
605,286,Kherson
606,287,Ternopil
607,287,Kherson
608,287,Kharkiv
609,288,Donetsk
610,288,Kherson
611,288,Smila
612,288,Kreminna
613,289,Kherson
614,289,Kakhovka
615,290,Kherson
616,290,Kakhovka
617,291,Kharkiv
618,292,Sloviansk
619,292,Kherson
620,292,Kharkiv
621,293,Kherson
622,293,Kharkiv
623,293,Rivne
624,293,Melitopol
625,294,Kherson
626,294,Rivne
627,295,Lviv
628,296,Kherson
629,297,Odessa
630,297,Kharkiv
631,297,Lviv
632,297,Irpin
633,299,Kherson
634,299,Odessa
635,299,Lviv
636,300,Kherson
637,302,Donetsk
638,302,Kherson
639,302,Kharkiv
640,302,Melitopol
641,303,Kyiv
642,303,Kherson
643,303,Kharkiv
644,303,Lviv
645,304,Irpin
646,305,Drohobych
647,307,Kyiv
648,307,Kharkiv
649,307,Lviv
650,307,Brovary
651,307,Irpin
652,308,Sloviansk
653,308,Melitopol
654,309,Kyiv
655,309,Kharkiv
656,309,Lviv
657,309,Irpin
658,310,Odessa
659,310,Kharkiv
660,311,Mariupol
661,311,Kharkiv
662,311,Kreminna
663,313,Kharkiv
664,314,Lviv
665,316,Kharkiv
666,317,Donetsk
667,317,Sloviansk
668,317,Kherson
669,317,Kharkiv
670,317,Brovary
671,318,Mariupol
672,318,Odessa
673,318,Kharkiv
674,318,Borodyanka
675,319,Lviv
676,320,Odessa
677,320,Kharkiv
678,322,Kherson
679,322,Kharkiv
680,322,Lviv
681,326,Kharkiv
682,333,Kharkiv
683,334,Kherson
684,334,Odessa
685,335,Kherson
686,337,Kharkiv
687,342,Kharkiv
688,343,Kherson
689,345,Kherson
690,345,Kharkiv
691,345,Horlivka
692,346,Kharkiv
693,346,Rivne
694,347,Kherson
695,347,Lyman
696,347,Kakhovka
697,348,Kherson
698,348,Kharkiv
699,348,Lviv
700,349,Tokmak
701,350,Kherson
702,353,Kharkiv
703,354,Kherson
704,354,Kharkiv
705,354,Lyman
706,354,Lviv
707,355,Lviv
708,356,Kherson
709,357,Lviv
710,360,Kherson
711,360,Odessa
712,360,Kharkiv
713,360,Lyman
714,360,Lviv
715,362,Donetsk
716,362,Kherson
717,362,Odessa
718,362,Poltava
719,363,Odessa
720,365,Kharkiv
721,365,Lyman
722,365,Lviv
723,366,Donetsk
724,366,Kherson
725,367,Kyiv
726,367,Kherson
727,367,Kharkiv
728,369,Kherson
729,369,Kharkiv
730,372,Kherson
731,372,Kharkiv
732,372,Lviv
733,373,Kherson
734,373,Kharkiv
735,376,Kyiv
736,376,Irpin
737,377,Kherson
738,377,Korosten
739,378,Kharkiv
740,380,Donetsk
741,380,Odessa
742,380,Kharkiv
743,380,Lviv
744,380,Melitopol
745,380,Okhtyrka
746,382,Lviv
747,385,Kyiv
748,385,Kherson
749,385,Kharkiv
750,385,Bucha
751,385,Irpin
752,386,Kharkiv
753,386,Irpin
754,387,Donetsk
755,387,Kherson
756,387,Kharkiv
757,387,Simferopol
758,387,Melitopol
759,389,Kharkiv
760,389,Poltava
761,390,Lviv
762,391,Sloviansk
763,391,Kherson
764,391,Melitopol
765,392,Kherson
766,392,Kharkiv
767,392,Melitopol
768,396,Donetsk
769,396,Kherson
770,396,Kharkiv
771,396,Lviv
772,397,Sloviansk
773,397,Kherson
774,397,Kharkiv
775,398,Kherson
776,398,Odessa
777,398,Kharkiv
778,399,Kherson
779,399,Kharkiv
780,402,Odessa
781,403,Sloviansk
782,403,Odessa
783,403,Lyman
784,404,Kherson
785,405,Odessa
786,405,Kharkiv
787,405,Lviv
788,407,Kherson
789,407,Kharkiv
790,409,Kharkiv
791,410,Odessa
792,411,Kherson
793,411,Odessa
794,411,Kharkiv
795,412,Kherson
796,413,Kherson
797,414,Sloviansk
798,414,Lviv
799,416,Kharkiv
800,417,Kherson
801,417,Odessa
802,417,Kharkiv
803,418,Sloviansk
804,418,Kharkiv
805,418,Lviv
806,419,Kharkiv
807,419,Lviv
808,420,Kharkiv
809,422,Kharkiv
810,423,Kharkiv
811,425,Kharkiv
812,425,Lviv
813,425,Okhtyrka
814,426,Donetsk
815,426,Kherson
816,426,Lyman
817,426,Melitopol
818,428,Kharkiv
819,428,Lviv
820,428,Kreminna
821,429,Odessa
822,429,Kharkiv
823,431,Mariupol
824,431,Kherson
825,431,Kharkiv
826,431,Melitopol
827,432,Kharkiv
828,433,Sloviansk
829,433,Kharkiv
830,433,Rivne
831,433,Fontanka
832,434,Mariupol
833,434,Kharkiv
834,434,Kreminna
835,435,Kharkiv
836,435,Lyman
837,436,Sloviansk
838,436,Kherson
839,436,Kharkiv
840,436,Brovary
841,436,Melitopol
842,437,Mariupol
843,440,Kyiv
844,440,Donetsk
845,440,Kherson
846,440,Kharkiv
847,441,Kharkiv
848,441,Lviv
849,441,Kreminna
850,444,Fastiv
851,445,Kherson
852,446,Odessa
853,446,Kharkiv
854,448,Poltava
855,448,Irpin
856,450,Kherson
857,450,Melitopol
858,451,Mariupol
859,451,Odessa
860,451,Kharkiv
861,451,Borodyanka
862,452,Kyiv
863,452,Kherson
864,452,Kharkiv
865,453,Kharkiv
866,455,Kharkiv
867,455,Lviv
868,456,Mariupol
869,456,Kharkiv
870,456,Kreminna
871,457,Kyiv
872,457,Kharkiv
873,457,Lviv
874,457,Irpin
875,459,Mariupol
876,459,Donetsk
877,459,Kherson
878,459,Odessa
879,459,Kharkiv
880,460,Kherson
881,460,Lviv
882,460,Rivne
883,461,Kherson
884,461,Kharkiv
885,463,Kharkiv
886,464,Sloviansk
887,464,Melitopol
888,465,Lviv
889,466,Odessa
890,466,Kharkiv
891,467,Mariupol
892,467,Odessa
893,467,Kharkiv
894,467,Borodyanka
895,468,Donetsk
896,468,Kherson
897,468,Kharkiv
898,468,Melitopol
899,469,Kyiv
900,469,Kherson
901,469,Kharkiv
902,471,Kharkiv
903,472,Donetsk
904,472,Odessa
905,472,Kharkiv
906,472,Lviv
907,472,Melitopol
908,472,Okhtyrka
909,475,Irpin
910,476,Mariupol
911,476,Kherson
912,476,Kharkiv
913,476,Melitopol
914,477,Kherson
915,477,Melitopol
916,479,Poltava
917,479,Irpin
918,481,Kyiv
919,481,Kherson
920,481,Kharkiv
921,481,Bucha
922,481,Irpin
923,482,Kharkiv
924,484,Kherson
925,484,Kharkiv
926,484,Lviv
927,486,Donetsk
928,487,Kherson
929,487,Korosten
930,488,Kharkiv
931,489,Kharkiv
932,490,Kharkiv
933,491,Kharkiv
934,492,Kherson
935,492,Odessa
936,492,Kharkiv
937,492,Poltava
938,493,Kharkiv
939,494,Donetsk
940,494,Sloviansk
941,494,Kherson
942,494,Kharkiv
943,495,Kherson
944,495,Kharkiv
945,495,Lyman
946,496,Kherson
947,496,Lviv
948,497,Kherson
949,497,Lviv
950,498,Sloviansk
951,499,Ternopil
952,499,Sloviansk
953,499,Kherson
954,499,Kharkiv
955,499,Lviv
956,500,Sloviansk
957,500,Kharkiv
958,501,Kherson
959,501,Odessa
960,502,Sloviansk
961,502,Kherson
962,502,Kharkiv
963,504,Kherson
964,504,Kharkiv
965,504,Lviv
966,505,Sloviansk
967,505,Kharkiv
968,506,Odessa
969,506,Kharkiv
970,507,Kharkiv
971,508,Sloviansk
972,508,Kherson
973,508,Kharkiv
974,510,Sloviansk
975,511,Sloviansk
976,511,Kharkiv
977,511,Kreminna
978,513,Sloviansk
979,514,Donetsk
980,514,Sloviansk
981,514,Kherson
982,514,Kharkiv
983,515,Sloviansk
984,515,Lviv
985,517,Kherson
986,517,Kharkiv
987,517,Lyman
988,517,Lviv
989,518,Kherson
990,519,Kherson
991,520,Kharkiv
992,521,Kharkiv
993,522,Kyiv
994,522,Donetsk
995,522,Sloviansk
996,522,Kherson
997,522,Odessa
998,522,Kharkiv
999,523,Donetsk
1000,523,Kherson
1001,523,Kakhovka
1002,525,Kherson
1003,525,Kakhovka
1004,525,Kreminna
1005,526,Kherson
1006,526,Lviv
1007,527,Kherson
1008,527,Simferopol
1009,529,Sloviansk
1010,529,Kherson
1011,530,Kherson
1012,530,Kharkiv
1013,530,Lyman
1014,531,Kharkiv
1015,531,Lviv
1016,532,Kherson
1017,533,Donetsk
1018,533,Kherson
1019,533,Kharkiv
1020,534,Kherson
1021,534,Kharkiv
1022,535,Kherson
1023,535,Kharkiv
1024,536,Kherson
1025,537,Kherson
1026,537,Kharkiv
1027,538,Kherson
1028,538,Odessa
1029,538,Kharkiv
1030,538,Lviv
1031,538,Poltava
1032,539,Sloviansk
1033,540,Kyiv
1034,540,Donetsk
1035,540,Sloviansk
1036,540,Kherson
1037,540,Lviv
1038,542,Kyiv
1039,542,Kherson
1040,542,Kharkiv
1041,543,Odessa
1042,543,Kharkiv
1043,544,Kherson
1044,544,Kharkiv
1045,544,Lviv
1046,544,Poltava
1047,545,Kherson
1048,545,Odessa
1049,545,Kharkiv
1050,545,Lviv
1051,545,Poltava
1052,546,Donetsk
1053,546,Kharkiv
1054,547,Sloviansk
1055,547,Kherson
1056,547,Kharkiv
1057,548,Kherson
1058,548,Odessa
1059,548,Kharkiv
1060,549,Kherson
1061,549,Kharkiv
1062,549,Lviv
1063,550,Odessa
1064,550,Kharkiv
1065,551,Donetsk
1066,551,Sloviansk
1067,551,Kherson
1068,551,Kharkiv
1069,552,Sloviansk
1070,552,Kherson
1071,552,Odessa
1072,552,Kharkiv
1073,553,Kherson
1074,553,Odessa
1075,553,Kharkiv
1076,554,Odessa
1077,554,Kharkiv
1078,555,Kharkiv
1079,558,Odessa
1080,559,Sloviansk
1081,559,Kharkiv
1082,559,Lviv
1083,560,Sloviansk
1084,560,Kharkiv
1085,560,Lyman
1086,561,Kharkiv
1087,561,Lyman
1088,561,Irpin
1089,562,Kherson
1090,564,Sloviansk
1091,564,Kharkiv
1092,564,Lyman
1093,564,Lviv
1094,565,Donetsk
1095,565,Kherson
